label_name,x,y
chhichhore,6787.6753,2715.6753
uri: the surgical strike,-293.45285,10405.545
k.g.f: chapter 1,-6414.425,4063.312
green book,9819.078,2076.5713
"three billboards outside ebbing, missouri",-10067.766,590.672
talvar,-10418.984,-2729.584
baahubali 2: the conclusion,-2742.7,6810.8735
klaus,8970.711,-862.90936
drishyam,-9630.225,-3800.6895
queen,8399.235,2599.7095
mandariinid,1622.8787,10654.809
bhaag milkha bhaag,4514.56,6385.151
gangs of wasseypur,-7404.8467,2826.3655
udaan,8111.7305,4721.7285
paan singh tomar,3916.7769,6622.6533
el secreto de sus ojos,-11111.9375,-5021.6025
warrior,5568.44,6739.135
shutter island,-4895.638,-5315.005
up,9796.905,-1307.3524
the wolf of wall street,-3686.798,870.9236
chak de! india,4893.74,5423.275
there will be blood,-454.54254,-498.66043
gravity,5057.782,-8762.936
